Día;Fecha;Hora;Sala;Titular;Auxiliar 1;Auxiliar 2;Auxiliar 3
Domingo;2/11/2025;07:00;Maternal;;;No disponible;No disponible
Domingo;2/11/2025;07:00;EBI;;;No disponible;No disponible
Domingo;2/11/2025;09:30;Maternal;;;;
Domingo;2/11/2025;09:30;EBI;;;;
Domingo;2/11/2025;15:00;EBI;;;No disponible;No disponible
Domingo;2/11/2025;18:00;EBI;;;No disponible;No disponible
Lunes;3/11/2025;16:00;EBI;;;No disponible;No disponible
Lunes;3/11/2025;20:00;Maternal;;;No disponible;No disponible
Lunes;3/11/2025;20:00;EBI;;;No disponible;No disponible
Miércoles;5/11/2025;16:00;EBI;;;No disponible;No disponible
Miércoles;5/11/2025;20:00;Maternal;;;No disponible;No disponible
Miércoles;5/11/2025;20:00;EBI;;;No disponible;No disponible
Jueves;6/11/2025;20:00;EBI;;;No disponible;No disponible
Viernes;7/11/2025;16:00;EBI;;;No disponible;No disponible
Viernes;7/11/2025;20:00;Maternal;;;;
Viernes;7/11/2025;20:00;EBI;;;;
Domingo;9/11/2025;07:00;Maternal;;;No disponible;No disponible
Domingo;9/11/2025;07:00;EBI;;;No disponible;No disponible
Domingo;9/11/2025;09:30;Maternal;;;;
Domingo;9/11/2025;09:30;EBI;;;;
Domingo;9/11/2025;15:00;EBI;;;No disponible;No disponible
Domingo;9/11/2025;18:00;EBI;;;No disponible;No disponible
Lunes;10/11/2025;16:00;EBI;;;No disponible;No disponible
Lunes;10/11/2025;20:00;Maternal;;;No disponible;No disponible
Lunes;10/11/2025;20:00;EBI;;;No disponible;No disponible
Miércoles;12/11/2025;16:00;EBI;;;No disponible;No disponible
Miércoles;12/11/2025;20:00;Maternal;;;No disponible;No disponible
Miércoles;12/11/2025;20:00;EBI;;;No disponible;No disponible
Jueves;13/11/2025;20:00;EBI;;;No disponible;No disponible
Viernes;14/11/2025;16:00;EBI;;;No disponible;No disponible
Viernes;14/11/2025;20:00;Maternal;;;;
Viernes;14/11/2025;20:00;EBI;;;;
Domingo;16/11/2025;07:00;Maternal;;;No disponible;No disponible
Domingo;16/11/2025;07:00;EBI;;;No disponible;No disponible
Domingo;16/11/2025;09:30;Maternal;;;;
Domingo;16/11/2025;09:30;EBI;;;;
Domingo;16/11/2025;15:00;EBI;;;No disponible;No disponible
Domingo;16/11/2025;18:00;EBI;;;No disponible;No disponible
Lunes;17/11/2025;16:00;EBI;;;No disponible;No disponible
Lunes;17/11/2025;20:00;Maternal;;;No disponible;No disponible
Lunes;17/11/2025;20:00;EBI;;;No disponible;No disponible
Miércoles;19/11/2025;16:00;EBI;;;No disponible;No disponible
Miércoles;19/11/2025;20:00;Maternal;;;No disponible;No disponible
Miércoles;19/11/2025;20:00;EBI;;;No disponible;No disponible
Jueves;20/11/2025;20:00;EBI;;;No disponible;No disponible
Viernes;21/11/2025;16:00;EBI;;;No disponible;No disponible
Viernes;21/11/2025;20:00;Maternal;;;;
Viernes;21/11/2025;20:00;EBI;;;;
Domingo;23/11/2025;07:00;Maternal;;;No disponible;No disponible
Domingo;23/11/2025;07:00;EBI;;;No disponible;No disponible
Domingo;23/11/2025;09:30;Maternal;;;;
Domingo;23/11/2025;09:30;EBI;;;;
Domingo;23/11/2025;15:00;EBI;;;No disponible;No disponible
Domingo;23/11/2025;18:00;EBI;;;No disponible;No disponible
Lunes;24/11/2025;16:00;EBI;;;No disponible;No disponible
Lunes;24/11/2025;20:00;Maternal;;;No disponible;No disponible
Lunes;24/11/2025;20:00;EBI;;;No disponible;No disponible
Miércoles;26/11/2025;16:00;EBI;;;No disponible;No disponible
Miércoles;26/11/2025;20:00;Maternal;;;No disponible;No disponible
Miércoles;26/11/2025;20:00;EBI;;;No disponible;No disponible
Jueves;27/11/2025;20:00;EBI;;;No disponible;No disponible
Viernes;28/11/2025;16:00;EBI;;;No disponible;No disponible
Viernes;28/11/2025;20:00;Maternal;;;;
Viernes;28/11/2025;20:00;EBI;;;;
Domingo;30/11/2025;07:00;Maternal;;;No disponible;No disponible
Domingo;30/11/2025;07:00;EBI;;;No disponible;No disponible
Domingo;30/11/2025;09:30;Maternal;;;;
Domingo;30/11/2025;09:30;EBI;;;;
Domingo;30/11/2025;15:00;EBI;;;No disponible;No disponible
Domingo;30/11/2025;18:00;EBI;;;No disponible;No disponible
